timestamp,symbol,open,high,low,close,volume,vwap
2024-02-01T09:15:00+05:30,TCS,4048.10,4060.20,4042.55,4056.35,52200,4052.80
2024-02-01T09:20:00+05:30,TCS,4056.35,4068.45,4052.40,4063.90,50350,4059.15
2024-02-01T09:25:00+05:30,TCS,4063.90,4072.30,4058.65,4069.75,49780,4065.85
2024-02-01T09:30:00+05:30,TCS,4069.75,4070.20,4050.60,4054.15,58120,4060.20
2024-02-01T09:35:00+05:30,TCS,4054.15,4058.10,4038.20,4042.45,61590,4048.55
2024-02-01T09:40:00+05:30,TCS,4042.45,4050.40,4035.70,4046.20,60240,4041.75
2024-02-01T09:45:00+05:30,TCS,4046.20,4061.80,4042.60,4058.55,56410,4052.65
2024-02-01T09:50:00+05:30,TCS,4058.55,4074.10,4056.25,4070.20,54960,4065.10
2024-02-01T09:55:00+05:30,TCS,4070.20,4082.85,4065.80,4078.90,53110,4073.25
2024-02-01T10:00:00+05:30,TCS,4078.90,4084.10,4068.55,4072.40,51820,4076.10
2024-02-01T10:05:00+05:30,TCS,4072.40,4091.20,4070.80,4088.35,55740,4081.45
2024-02-01T10:10:00+05:30,TCS,4088.35,4102.55,4082.20,4096.80,58850,4090.55
