timestamp,symbol,open,high,low,close,volume,vwap
2024-02-01T09:15:00+05:30,NIFTY,21980.25,22012.20,21970.10,22005.35,182000,21994.80
2024-02-01T09:20:00+05:30,NIFTY,22005.35,22028.50,21996.40,22020.80,176500,22011.25
2024-02-01T09:25:00+05:30,NIFTY,22020.80,22042.65,22010.15,22034.25,169800,22025.40
2024-02-01T09:30:00+05:30,NIFTY,22034.25,22039.90,22004.55,22010.45,190300,22018.35
2024-02-01T09:35:00+05:30,NIFTY,22010.45,22018.70,21982.20,21995.10,204200,22001.15
2024-02-01T09:40:00+05:30,NIFTY,21995.10,22009.85,21975.65,21982.35,211900,21990.45
2024-02-01T09:45:00+05:30,NIFTY,21982.35,22015.10,21979.50,22008.55,198300,21996.90
2024-02-01T09:50:00+05:30,NIFTY,22008.55,22036.40,21999.75,22030.15,188750,22018.10
2024-02-01T09:55:00+05:30,NIFTY,22030.15,22061.35,22022.90,22055.65,181200,22042.70
2024-02-01T10:00:00+05:30,NIFTY,22055.65,22073.85,22040.60,22047.20,173500,22056.15
2024-02-01T10:05:00+05:30,NIFTY,22047.20,22084.40,22044.80,22078.90,192400,22063.40
2024-02-01T10:10:00+05:30,NIFTY,22078.90,22101.10,22062.35,22094.55,201700,22082.20
