timestamp,symbol,open,high,low,close,volume,vwap
2024-02-01T09:15:00+05:30,BANKNIFTY,46380.50,46460.80,46342.20,46422.75,128400,46401.15
2024-02-01T09:20:00+05:30,BANKNIFTY,46422.75,46510.60,46405.30,46496.20,122150,46458.35
2024-02-01T09:25:00+05:30,BANKNIFTY,46496.20,46542.90,46448.50,46505.65,119600,46498.40
2024-02-01T09:30:00+05:30,BANKNIFTY,46505.65,46525.20,46396.10,46420.15,135220,46441.90
2024-02-01T09:35:00+05:30,BANKNIFTY,46420.15,46448.75,46328.90,46358.55,146900,46386.25
2024-02-01T09:40:00+05:30,BANKNIFTY,46358.55,46408.10,46311.45,46392.65,140350,46360.15
2024-02-01T09:45:00+05:30,BANKNIFTY,46392.65,46495.30,46370.85,46482.40,137700,46428.85
2024-02-01T09:50:00+05:30,BANKNIFTY,46482.40,46540.70,46455.20,46522.15,131950,46505.55
2024-02-01T09:55:00+05:30,BANKNIFTY,46522.15,46605.90,46502.45,46588.20,126280,46546.95
2024-02-01T10:00:00+05:30,BANKNIFTY,46588.20,46632.10,46544.30,46562.55,121960,46580.10
2024-02-01T10:05:00+05:30,BANKNIFTY,46562.55,46618.85,46521.90,46594.35,124880,46568.65
2024-02-01T10:10:00+05:30,BANKNIFTY,46594.35,46670.50,46582.10,46648.90,129500,46621.15
