timestamp,symbol,open,high,low,close,volume,vwap
2024-02-01T09:15:00+05:30,RELIANCE,2894.20,2903.85,2888.40,2899.75,86400,2896.25
2024-02-01T09:20:00+05:30,RELIANCE,2899.75,2910.10,2895.80,2907.65,79800,2903.85
2024-02-01T09:25:00+05:30,RELIANCE,2907.65,2916.45,2903.90,2914.55,78220,2910.15
2024-02-01T09:30:00+05:30,RELIANCE,2914.55,2918.10,2899.25,2902.40,95100,2908.75
2024-02-01T09:35:00+05:30,RELIANCE,2902.40,2907.60,2887.95,2891.20,99350,2896.45
2024-02-01T09:40:00+05:30,RELIANCE,2891.20,2898.55,2884.10,2889.75,102400,2890.80
2024-02-01T09:45:00+05:30,RELIANCE,2889.75,2901.20,2888.15,2898.35,91440,2894.65
2024-02-01T09:50:00+05:30,RELIANCE,2898.35,2912.85,2896.70,2909.25,86770,2905.95
2024-02-01T09:55:00+05:30,RELIANCE,2909.25,2920.10,2905.25,2917.80,85120,2913.10
2024-02-01T10:00:00+05:30,RELIANCE,2917.80,2922.35,2909.60,2911.45,82350,2915.50
2024-02-01T10:05:00+05:30,RELIANCE,2911.45,2928.90,2910.25,2924.80,90510,2919.80
2024-02-01T10:10:00+05:30,RELIANCE,2924.80,2936.55,2921.40,2931.35,93780,2928.15
