timestamp,symbol,open,high,low,close,volume,vwap
2024-02-01T09:15:00+05:30,SBIN,648.15,650.80,647.10,650.20,220400,648.95
2024-02-01T09:20:00+05:30,SBIN,650.20,652.55,649.65,651.90,214880,651.10
2024-02-01T09:25:00+05:30,SBIN,651.90,653.25,650.40,652.75,209760,651.95
2024-02-01T09:30:00+05:30,SBIN,652.75,653.10,648.55,649.35,238400,650.60
2024-02-01T09:35:00+05:30,SBIN,649.35,650.10,646.85,647.80,245120,648.25
2024-02-01T09:40:00+05:30,SBIN,647.80,649.75,646.60,649.10,236540,648.05
2024-02-01T09:45:00+05:30,SBIN,649.10,652.30,648.75,651.95,224360,650.40
2024-02-01T09:50:00+05:30,SBIN,651.95,654.10,651.20,653.60,218200,652.70
2024-02-01T09:55:00+05:30,SBIN,653.60,655.25,652.80,654.90,212940,654.05
2024-02-01T10:00:00+05:30,SBIN,654.90,655.80,652.10,652.85,219880,654.10
2024-02-01T10:05:00+05:30,SBIN,652.85,656.20,652.40,655.40,230600,654.45
2024-02-01T10:10:00+05:30,SBIN,655.40,657.35,654.90,656.85,234800,656.10
